sgt_uniqueid,sgt_rank,sgt_dept,sgt_suprank,sgt_supdept,sup_uniqueid,sgt_deptid,sgt_male,sgt_white,sgt_tenure,sgt_politics,sgt_education,sgt_age,sgt_socialdominance1,sgt_socialdominance2,sgt_socialdominance3,sgt_socialdominance4,sgt_socialdominance5,sgt_socialdominance6,sgt_socialdominance7,sgt_selfevaluation1,sgt_selfevaluation2,sgt_selfevaluation3,sgt_selfevaluation4,sgt_selfevaluation5,sgt_selfevaluation6,sgt_selfevaluation7,sgt_selfevaluation8,sgt_selfevaluation9,sgt_selfevaluation10,sgt_selfevaluation11,sgt_selfevaluation12,sgt_fto_intfair1,sgt_fto_intfair2,sgt_fto_intfair3,sgt_fto_intfair4,sgt_fto_intfar5,sgt_fto_intfair6,sgt_fto_understoodneeds,sgt_ftogender,sgt_ftowhite,sgt_orgfair1,sgt_orgfair2,sgt_orgfair3,sgt_orgfair4,sgt_orgfair5,sgt_servlead1,sgt_servlead2,sgt_servlead3,sgt_servlead4,sgt_servlead5,sgt_servlead6,sgt_servlead7,sgt_psm5,sgt_occid2,sgt_psm1,sgt_occid1,sgt_occid3,sgt_psm2,sgt_occid4,sgt_psm4,sgt_psm3,sgt_supethguid1,sgt_supethguid2,sgt_supethguid3,sgt_supethguid4,sgt_supethguid5,sgt_strenuousexerciseweekly,sgt_moderateexerciseweekly,sgt_mildexerciseweekly,sgt_intfair1,sgt_intfair2,sgt_intfair3,sgt_intfair4,sgt_intfair5,sgt_intfair6,sgt_diversityclimate1,sgt_diversityclimate2,sgt_diversityclimate3,sgt_diversityclimate4,sgt_diversityclimate5,sgt_leaderintegrity1,sgt_leaderintegrity2,sgt_leaderintegrity3,sgt_leaderintegrity4,sgt_commdiversity1,sgt_commdiversity2,sgt_commdiversity3,sgt_commdiversity4,sgt_commdiversity5,sgt_monitored1,sgt_monitored2,sgt_monitored3,sgt_monitored4,sgt_monitored5,sgt_contactpressure,sgt_arrestpressure,sgt_policeasproblem,sgt_publicagree,sgt_publictruth,sgt_publichideinfo,sgt_homesafe,sgt_familyconcern,sgt_physicalharm,sgt_legalliability,sgt_verbalconfrontation,sgt_not applicable,sgt_morale_1,sgt_morale_2,sgt_morale_3,sgt_morale_4,sgt_morale_5,sgt_morale_6,sgt_proc_polic_5,sgt_empower_1,sgt_org_id_1,sgt_empower_2,sgt_comm_citizen_1,sgt_org_id_2,sgt_sgt_effective,sgt_empower_12,sgt_unit_politics_4,sgt_report_force_1,sgt_empower_3,sgt_felt_account_4,sgt_work_helps_comm_2,sgt_lt_effective,sgt_unit_politics_1,sgt_rule_bend_1,sgt_work_helps_comm_1,sgt_proc_polic_2,sgt_force_policy_2,sgt_empower_11,sgt_proc_polic_1,sgt_sgt_incivil_1,sgt_sgt_incivil_2,sgt_sgt_incivil_4,sgt_comm_citizen_3,sgt_empower_7,sgt_report_force_2,sgt_rule_bend_2,sgt_org_id_4,sgt_force_policy_1,sgt_force_policy_3,sgt_sgt_care_wellbeing,sgt_sgt_fail_to_notice,sgt_sgt_proud_mywork,sgt_lt_care_wellbeing,sgt_lt_fail_to_notice,sgt_lt_proud_mywork,sgt_lt_incivil_1,sgt_lt_incivil_2,sgt_lt_incivil_4,sgt_empower_4,sgt_rule_bend_3,sgt_proc_polic_3,sgt_rule_bend_4,sgt_comm_citizen_2,sgt_observed_excluded,sgt_observed_discrimated,sgt_you_excluded,sgt_you_discrimated,sgt_empower_9,sgt_different_myvisible_1,sgt_org_id_3,sgt_different_myvalues_2,sgt_empower_10,sgt_different_myeducation_3,sgt_proc_polic_4,sgt_career_regret,sgt_career_recommend,sgt_career_satisfaction,sgt_unit_listen,sgt_unit_reliable,sgt_burnout_1,sgt_felt_account_1,sgt_unit_politics_2,sgt_comm_citizen_4,sgt_felt_account_2,sgt_felt_account_3,sgt_woman_handle_duties,sgt_woman_not_suitable,sgt_woman_just_as_good,sgt_female_employee_preferential,sgt_minority_employee_preferential
3438_363_179,Sergeant,PlanningandAnalysis,Staff Lieutenant,Planning and Analysis,3430_476_179,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,3,5,5,5,5,4,5,8,4,3,4,5,4,5,8,2,1,4,5,2,5,5,1,1,1,3,5,3,3,5,3,2,4,2,4,4,2,4,1,1,1,5,3,1,2,4,0,0,0,0,3,4,5,2,5,2,5,5,5,39,17,17,1,5,2,3,3,2,5,1,5,3,3
3440_448_180,Sergeant,Polygraph,Staff Lieutenant,OFFICE INVESTIGATIVE SERVS,3374_445_170,180,1,0,NA,NA,NA,NA,1,1,5,5,2,1,5,4,3,4,3,4,3,4,2,5,2,5,1,3,2,3,4,2,3,2,2,473,3,3,3,4,3,4,4,4,4,5,4,5,4,3,4,4,3,5,3,4,5,3,3,5,5,3,5,NA,NA,5,5,5,5,4,5,4,2,3,5,3,5,5,5,5,4,2,4,4,4,3,5,4,4,3,1,1,4,2,4,2,2,3,3,5,3,333,5,5,5,5,5,5,5,5,5,5,4,4,8,5,1,5,4,4,5,8,1,1,5,5,1,5,5,1,1,1,3,3,4,1,3,1,1,4,1,4,4,1,4,1,1,1,4,2,1,2,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3453_562_183,Sergeant,PublicAffairs,Lieutenant,Public Affairs,3454_586_183,183,0,1,13,1,3,39,4,1,5,5,5,1,4,4,1,4,1,4,1,4,1,4,2,4,1,4,4,4,5,5,4,5,2,473,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,4,5,5,4,NA,1,3,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,1,4,4,4,4,5,4,4,3,1,1,4,1,3,3,2,2,3,4,3,364,4,4,5,5,4,4,4,4,4,5,5,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3461_361_185,Sergeant,RegionalTraining,Lieutenant,Training Academy,3569_552_195,185,1,0,25,1,2,49,1,1,5,5,3,3,4,4,3,4,2,5,3,4,2,4,3,5,2,4,4,3,4,3,5,4,2,474,2,4,3,2,2,3,3,3,2,2,2,3,5,5,5,5,5,5,5,5,5,2,1,1,2,1,2,1,2,3,4,3,3,3,4,5,1,4,4,4,2,3,3,2,3,3,2,2,2,1,2,2,2,2,1,1,5,2,2,4,5,5,2,4,4,308,3,3,3,4,3,4,4,5,4,5,3,4,6,5,3,5,3,5,4,5,3,1,4,5,1,4,5,1,1,1,3,4,4,2,4,1,1,4,2,4,3,2,4,1,1,2,5,1,2,1,4,0,0,0,0,5,4,5,3,4,3,4,4,4,38,15,15,2,5,2,3,3,3,2,4,4,4,4
3477_457_187,Sergeant,SecurityServices,Captain,Security Services,3473_365_187,187,1,0,20,1,1,48,2,1,5,5,3,2,4,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,3,3,3,3,2,474,2,2,2,2,1,2,2,2,2,4,2,3,4,4,4,4,3,4,3,4,4,2,2,2,2,2,5,NA,NA,2,2,2,2,2,2,2,4,3,3,2,2,2,2,2,4,2,3,2,4,2,2,2,2,2,1,1,4,3,3,3,2,3,5,3,2,253,3,4,3,5,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,4,2,4,4,2,4,4,4,4,4,4,4,4,3,3,2,2,2,4,2,2,3,2,1,1,1,4,3,2,2,3,0,0,0,1,4,2,4,2,5,4,4,4,3,38,16,16,3,4,2,3,4,4,4,2,4,1,1
3512_372_189,Sergeant,SRT,Lieutenant,SRT,3505_367_189,189,1,1,15,1,4,38,3,1,3,3,2,3,3,4,1,4,4,4,3,4,2,4,2,4,2,4,4,4,5,5,5,5,2,473,2,5,5,5,3,4,4,4,4,5,4,4,4,5,4,5,4,4,4,4,3,1,2,3,4,3,6,5,5,3,4,4,4,4,4,5,1,5,4,4,4,4,4,4,4,2,4,4,4,2,3,2,2,2,1,2,4,3,3,2,2,3,5,5,5,343,4,4,4,5,3,4,4,5,4,4,4,4,3,4,4,4,4,4,5,3,4,3,5,4,2,4,4,2,2,2,3,4,4,4,4,4,2,4,2,4,4,2,4,2,2,2,4,4,3,2,4,0,0,0,0,4,2,4,2,4,3,4,4,3,39,16,16,2,4,2,3,3,3,3,4,4,3,3
3501_372_189,Sergeant,SRT,Lieutenant,SRT,3505_367_189,189,1,1,22,1,1,40,4,4,4,1,3,4,4,3,3,4,3,4,2,4,2,3,2,4,2,4,4,4,4,4,4,4,1,473,2,4,4,1,2,4,3,4,4,4,4,4,5,4,4,4,4,4,3,4,4,3,2,4,4,4,5,NA,NA,4,4,4,4,4,4,4,2,4,4,4,4,4,5,4,4,3,3,3,3,4,4,3,3,3,1,1,4,4,4,2,2,2,2,2,4,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3510_372_189,Sergeant,SRT,Lieutenant,SRT,3505_367_189,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,4,4,4,2,3,6,4,4,5,4,5,4,7,2,3,4,5,2,4,4,2,1,3,3,4,3,5,4,2,2,4,2,3,3,3,4,1,3,3,4,4,2,2,3,0,0,0,0,5,2,4,2,4,2,4,2,4,37,16,16,2,5,2,3,4,2,2,2,4,4,4
3577_431_195,Sergeant,TrainingAcademy,Lieutenant,Training Academy,3588_588_195,195,0,1,18,4,1,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,2,473,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,1,1,4,3,3,3,3,4,3,3,4,369,3,3,3,3,3,3,3,3,3,3,3,3,9,3,3,3,3,3,3,5,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,5,1,5,5,3,3,1,1,1,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,4,4,37,17,17,1,3,3,3,3,3,3,3,3,3,3
3559_568_195,Sergeant,TrainingAcademy,Lieutenant,Training Academy,NA,195,1,0,24,2,4,46,1,1,5,5,1,1,4,2,1,4,1,5,3,4,2,5,4,4,2,5,4,5,5,5,5,5,2,474,2,4,3,3,3,2,4,3,3,4,3,4,4,4,5,5,4,5,4,5,5,2,2,4,4,5,3,4,0,2,4,4,4,4,5,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,5,5,4,3,1,1,1,4,3,3,2,3,2,3,4,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3643_552_195,Sergeant,TrainingAcademy,Staff Lieutenant,Training Academy,3621_449_195,195,1,1,15,1,2,38,3,3,4,3,2,2,4,2,3,4,2,5,5,4,1,5,5,5,2,2,2,2,5,5,3,2,2,473,1,2,1,1,1,2,1,2,2,2,2,1,4,4,5,5,5,5,5,5,5,3,3,3,3,3,4,0,0,4,4,4,2,3,2,5,1,5,4,4,2,2,2,2,3,3,3,3,3,4,4,2,4,2,5,5,4,4,4,3,2,4,2,5,4,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3570_552_195,Sergeant,TrainingAcademy,Staff Lieutenant,Training Academy,3621_449_195,195,1,1,13,2,2,39,2,2,5,5,2,2,4,4,1,5,1,5,2,5,1,5,1,5,1,5,5,5,5,5,5,5,2,473,4,2,2,2,2,5,4,5,5,5,4,5,4,4,5,5,4,5,4,5,4,3,3,4,4,4,4,1,1,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,1,4,5,4,5,5,5,5,5,1,1,4,3,4,4,5,4,5,5,5,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3553_431_195,Sergeant,TrainingAcademy,Lieutenant,Training Academy,3588_588_195,195,1,1,10,1,4,33,2,1,4,3,4,4,5,4,4,4,2,4,4,4,3,2,3,4,2,4,4,4,4,4,4,5,2,473,2,3,3,3,2,4,3,4,4,4,3,4,4,5,5,4,4,4,4,4,4,3,4,3,3,4,5,NA,3,4,4,4,4,3,3,4,2,3,4,3,3,3,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,2,4,2,3,3,2,4,4,337,3,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,2,3,5,4,4,3,5,5,3,4,5,2,2,2,4,4,2,2,4,2,3,4,2,4,2,4,3,1,2,3,4,3,1,2,4,0,1,0,0,4,2,3,4,4,4,4,4,4,37,15,16,3,4,4,3,4,3,4,4,4,4,4
3604_431_195,Sergeant,TrainingAcademy,Lieutenant,Training Academy,3588_588_195,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,5,4,5,4,4,5,5,3,5,4,4,5,5,4,1,5,5,2,4,5,2,1,2,3,4,4,2,4,1,2,4,2,4,4,3,3,1,1,2,5,2,1,2,3,0,0,0,0,4,1,4,2,4,2,4,2,2,38,16,16,2,5,2,2,2,2,5,1,5,4,4
